entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_ZIYVHBGGAOATLY-UHFFFAOYSA-N,Methylmalonic Acid,Methylmalonic Acid,ZIYVHBGGAOATLY-UHFFFAOYSA-N,C4H6O4,2,2,2,0,0.3105328575,0.3105328575,0.49978212,NA,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_YBUXFQUGNPBZPS-YNBHEIDWSA-N,LPC 22:5.1,"LPC 22:5.1 | LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)",YBUXFQUGNPBZPS-YNBHEIDWSA-N,C30H52NO7P,2,2,2,0,0.42900714100000004,0.42900714100000004,0.485426827,NA,37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_SRRQPVVYXBTRQK-UHFFFAOYSA-N,LPC 17:0,LPC 17:0,SRRQPVVYXBTRQK-UHFFFAOYSA-N,C25H52NO7P,2,2,2,0,0.456784609,0.456784609,0.464668267,1.2e-5,37755270 | 38720721,Up in PD,1,FALSE,TRUE
IK_SRRQPVVYXBTRQK-XMMPIXPASA-N,PC(17:0/0:0),PC(17:0/0:0) | 1-Heptadecanoyl-sn-glycero-3-phosphocholine | LysoPC(17:0/0:0),SRRQPVVYXBTRQK-XMMPIXPASA-N,C25H52NO7P,2,2,2,0,0.3997617195,0.3997617195,0.457331626,0.00358,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N,Serotonin,Serotonin,QZAYGJVTTNCVMB-UHFFFAOYSA-N,C10H12N2O,2,2,0,2,-0.310115741,-0.310115741,0.434402824,0.00126,38720721 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_JPIJQSOTBSSVTP-GBXIJSLDSA-N,isothreonic acid,isothreonic acid | Threonic Acid,JPIJQSOTBSSVTP-GBXIJSLDSA-N,C4H8O5,2,2,2,0,0.34343987350000005,0.34343987350000005,0.418999465,1.37e-6,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_XOAAWQZATWQOTB-UHFFFAOYSA-N,Taurine,Taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,C2H7NO3S,2,2,0,2,-0.218912963,-0.218912963,0.415037499,0.0221,37755270 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_VXUOFDJKYGDUJI-OAQYLSRUSA-N,LPC 14:0,LPC 14:0 | LysoPC(14:0/0:0),VXUOFDJKYGDUJI-OAQYLSRUSA-N,C22H46NO7P,2,2,2,0,0.2259768845,0.2259768845,0.411426246,0.00165,37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_JVTAAEKCZFNVCJ-UHFFFAOYSA-N,Lactic acid,Lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C3H6O3,2,2,2,0,0.2118737805,0.2118737805,0.409255147,0.0226,38720721 | ST001814,Up in PD,1,FALSE,TRUE
IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N,malic acid,malic acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,C4H6O5,2,2,2,0,0.357673777,0.357673777,0.389961139,0.00438,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_AYFVYJQAPQTCCC-GBXIJSLDSA-N,L-Threonine,L-Threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C4H9NO3,2,2,2,0,0.195744613,0.195744613,0.386074483,NA,MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_RHGKLRLOHDJJDR-BYPYZUCNSA-N,Citrulline,Citrulline | L-citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C6H13N3O3,2,2,2,0,0.26041078900000003,0.26041078900000003,0.366252264,NA,24167579 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_LFUDDCMNKWEORN-ZXEGGCGDSA-N,LPC 16:1,LPC 16:1 | LysoPC(16:1(9Z)),LFUDDCMNKWEORN-ZXEGGCGDSA-N,C24H48NO7P,2,2,2,0,0.326345935,0.326345935,0.365810722,0.00153,37755270 | ST003159,Up in PD,1,FALSE,TRUE
IK_YYSFWGQAKJTHRE-MEOKJUQFSA-N,LPC 20:1,LPC 20:1 | LysoPC(20:1(11Z)/0:0),YYSFWGQAKJTHRE-MEOKJUQFSA-N,C28H56NO7P,2,2,2,0,0.3350330075,0.3350330075,0.35614381,0.00162,37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_HXEACLLIILLPRG-YFKPBYRVSA-N,L-Pipecolic acid,L-Pipecolic acid,HXEACLLIILLPRG-YFKPBYRVSA-N,C6H11NO2,2,2,0,2,-0.19092783900000002,-0.19092783900000002,0.321928095,NA,28880465 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_ZHRLECIZINSPKL-AKGZTFGVSA-N,L-Cysteinylglycine disulfide,L-Cysteinylglycine disulfide,ZHRLECIZINSPKL-AKGZTFGVSA-N,C6H11NO2,2,2,0,2,-0.290878035,-0.290878035,0.312939312,9.87e-8,24167579 | 28880465,Down in PD,1,FALSE,TRUE
IK_GHVNFZFCNZKVNT-UHFFFAOYSA-N,Capric acid,Capric acid | FFA 10:0,GHVNFZFCNZKVNT-UHFFFAOYSA-N,C10H20O2,2,2,0,2,-0.1543948815,-0.1543948815,0.304006187,0.0021,33485385 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_YLWSJLLZUHSIEA-CKSUKHGVSA-N,SM d34:2,"SM d34:2 | SM(d18:2(4E,14Z)/16:0)",YLWSJLLZUHSIEA-CKSUKHGVSA-N,C39H77N2O6P,2,2,0,2,-0.23209478,-0.23209478,0.304006187,6.03e-4,37755270 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_YWDDIWXKFJEMKF-JTZVLWBESA-N,PC 34:4,PC 34:4 | GPCho(18:4/16:0),YWDDIWXKFJEMKF-JTZVLWBESA-N,C42H76NO8P,2,2,0,2,-0.221315123,-0.221315123,0.304006187,0.0221,33485385 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_GOMVPVRDBLLHQC-VEJNOCSESA-N,LPC 20:4,"LPC 20:4 | LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",GOMVPVRDBLLHQC-VEJNOCSESA-N,C28H50NO7P,2,2,2,0,0.24277499549999998,0.24277499549999998,0.298658316,0.00185,37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_XFTRTWQBIOMVPK-UHFFFAOYSA-N,Citramalic acid,Citramalic acid,XFTRTWQBIOMVPK-UHFFFAOYSA-N,C5H8O5,2,2,2,0,0.1635307155,0.1635307155,0.293558786,NA,MTBLS11904 | ST001814,Up in PD,1,FALSE,TRUE
IK_KJUNGQXFZYMUOH-FKWLWHCOSA-N,LPC 18:1.1,LPC 18:1.1 | LysoPC(P-18:1(9Z)/0:0),KJUNGQXFZYMUOH-FKWLWHCOSA-N,C26H52NO6P,2,2,2,0,0.26054089,0.26054089,0.263034406,0.00513,37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_WQZGKKKJIJFFOK-GASJEMHNSA-N,glucose,glucose | D-Glucose,WQZGKKKJIJFFOK-GASJEMHNSA-N,C6H12O6,2,2,2,0,0.170936997,0.170936997,0.255802837,NA,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_LCTONWCANYUPML-UHFFFAOYSA-N,Pyruvic Acid,Pyruvic Acid,LCTONWCANYUPML-UHFFFAOYSA-N,C3H4O3,2,2,2,0,0.14660877349999998,0.14660877349999998,0.253961403,NA,MTBLS11904 | ST001814,Up in PD,1,FALSE,TRUE
IK_JNDFGLPQDFBGLR-KMCBPMHZSA-N,FFAD 22:1,FFAD 22:1,JNDFGLPQDFBGLR-KMCBPMHZSA-N,C66H125NO5,2,2,0,2,-0.161646207,-0.161646207,0.251538767,0.0014,33485385 | ST003159,Down in PD,1,FALSE,TRUE
IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N,Succinic acid,Succinic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C4H6O4,2,2,2,0,0.1521358935,0.1521358935,0.2393117,NA,MTBLS11904 | ST001814,Up in PD,1,FALSE,TRUE
IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N,isocitric acid,isocitric acid,ODBLHEXUDAPZAU-UHFFFAOYSA-N,C6H8O7,2,2,2,0,0.16493042800000002,0.16493042800000002,0.230203013,0.00949,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
NO_INCHIKEY__ffa 18 0,FFA 18:0,FFA 18:0,NA,NA,2,2,0,2,-0.1941679385,-0.1941679385,0.200912694,0.0012,33485385 | ST003159,Down in PD,1,FALSE,TRUE
IK_ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Phenol,Phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C6H6O,2,2,0,2,-0.0833967205,-0.0833967205,0.16406946,NA,28880465 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_POULHZVOKOAJMA-UHFFFAOYSA-N,lauric acid,lauric acid | Dodecanoic acid | FFA 12:0,POULHZVOKOAJMA-UHFFFAOYSA-N,C12H24O2,2,2,0,2,-0.09782847,-0.09782847,0.13606155,0.0184,33485385 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_SEALOBQTUQIVGU-QNIJNHAOSA-N,dihydroergocornine,dihydroergocornine,SEALOBQTUQIVGU-QNIJNHAOSA-N,C31H41N5O5,2,2,0,2,-0.08540548,-0.08540548,0.131313235,NA,24167579 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_QNAYBMKLOCPYGJ-REOHCLBHSA-N,L-Alanine,L-Alanine | Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C3H7NO2,2,2,0,2,-0.04580987,-0.04580987,0.078664220000000007,NA,MTBLS11904 | ST001814,Down in PD,1,FALSE,TRUE
