entity_id,true_label,predicted,confidence,"prob__Alanine, aspartate and glutamate metabolism",prob__Amino sugar and nucleotide sugar metabolism,prob__Arachidonic acid metabolism,prob__Arginine and proline metabolism,prob__Arginine biosynthesis,prob__Ascorbate and aldarate metabolism,prob__Biosynthesis of unsaturated fatty acids,prob__Biotin metabolism,prob__Butanoate metabolism,prob__Caffeine metabolism,prob__Citrate cycle (TCA cycle),prob__Cysteine and methionine metabolism,prob__D-Amino acid metabolism,prob__Drug metabolism - cytochrome P450,prob__Drug metabolism - other enzymes,prob__Ether lipid metabolism,prob__Fatty acid biosynthesis,prob__Fatty acid degradation,prob__Folate biosynthesis,prob__Fructose and mannose metabolism,prob__Galactose metabolism,prob__Glutathione metabolism,prob__Glycerolipid metabolism,prob__Glycerophospholipid metabolism,"prob__Glycine, serine and threonine metabolism",prob__Glycolysis or Gluconeogenesis,prob__Glyoxylate and dicarboxylate metabolism,prob__Histidine metabolism,prob__Linoleic acid metabolism,prob__Lysine degradation,prob__Nicotinate and nicotinamide metabolism,prob__One carbon pool by folate,prob__Pantothenate and CoA biosynthesis,prob__Pentose and glucuronate interconversions,prob__Pentose phosphate pathway,prob__Phenylalanine metabolism,"prob__Phenylalanine, tyrosine and tryptophan biosynthesis",prob__Porphyrin metabolism,prob__Primary bile acid biosynthesis,prob__Propanoate metabolism,prob__Purine metabolism,prob__Pyrimidine metabolism,prob__Pyruvate metabolism,prob__Retinol metabolism,prob__Riboflavin metabolism,prob__Sphingolipid metabolism,prob__Starch and sucrose metabolism,prob__Steroid biosynthesis,prob__Steroid hormone biosynthesis,prob__Tryptophan metabolism,prob__Tyrosine metabolism,prob__Ubiquinone and other terpenoid-quinone biosynthesis,"prob__Valine, leucine and isoleucine biosynthesis","prob__Valine, leucine and isoleucine degradation",prob__Vitamin B6 metabolism
IK_BCDGQXUMWHRQCB-UHFFFAOYSA-N,"Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",0.6928201,0.18636376,8.461487e-08,4.091054e-05,0.08581972,0.00011377638,2.0469155e-07,0.00023409026,8.7361843e-07,1.601041e-11,1.6558022e-05,3.8721964e-06,8.633104e-05,4.6634057e-07,2.4982152e-09,5.4319127e-08,4.2501608e-08,0.00016442905,7.509233e-10,6.2403877e-10,1.4375372e-10,6.007086e-09,1.09502425e-08,1.1760041e-09,0.012444617,0.6928201,1.3790172e-12,1.8730513e-09,2.45197e-06,2.08258e-06,9.9497374e-05,0.00011868028,0.0143618295,0.0009509842,5.4405837e-07,7.520614e-10,2.240975e-09,4.509637e-07,6.2002447e-12,4.693761e-08,2.674051e-09,0.00025232695,8.4978197e-10,7.556046e-09,7.29523e-12,2.921794e-14,1.6364536e-05,8.0060647e-10,6.10745e-12,1.769084e-07,6.628475e-06,4.716833e-05,2.4567015e-07,0.006030575,1.5039035e-08,2.0141156e-08
IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N,Citrate cycle (TCA cycle),Histidine metabolism,0.3427721,1.7945358e-05,0.0070038373,0.00011769212,3.306701e-06,0.0002394954,0.0031575023,6.124072e-07,0.0001877662,0.033794332,0.0009957467,0.14755157,0.012418497,0.020583527,0.00010213199,0.00016668455,6.137628e-06,1.8538574e-05,3.4784796e-07,0.00019254487,6.535325e-05,0.009867503,0.032064803,0.0024826017,6.285248e-05,1.5466429e-05,6.235616e-07,0.035323117,0.3427721,3.9183185e-05,0.0020486563,4.015891e-06,0.000545465,1.7017193e-05,0.010994171,0.10414263,0.00059278397,0.00031299575,0.0024976018,0.00046961612,0.025252342,2.0238562e-05,0.008479422,0.123494454,0.00062423287,2.1496644e-06,3.7016484e-06,0.0331288,8.489675e-06,6.099513e-06,0.00030270405,5.8207536e-07,6.1796134e-05,8.598895e-06,0.036882974,0.00084670197
IK_BKAJNAXTPSGJCU-UHFFFAOYSA-N,"Valine, leucine and isoleucine biosynthesis",Cysteine and methionine metabolism,0.6890969,0.002785277,3.5721382e-07,6.372362e-07,1.8396578e-07,1.4929997e-08,8.022002e-11,7.590854e-10,2.7067262e-10,5.865499e-14,0.0118365595,5.007098e-09,0.6890969,5.747089e-08,1.8160157e-20,4.0122448e-08,1.5156303e-14,3.5734835e-11,9.135145e-24,3.5431928e-15,2.2999086e-14,1.9183242e-10,3.6279146e-12,3.3413468e-14,8.319925e-10,9.80202e-07,5.4449692e-24,8.493792e-12,1.2638238e-05,6.311342e-15,0.005149448,1.1966474e-11,0.000432238,4.4402584e-09,8.696553e-06,3.7891172e-14,1.5518305e-17,1.8161252e-14,4.336133e-21,4.434971e-19,8.827376e-09,4.9819533e-07,8.696384e-18,7.789478e-09,3.0124444e-21,5.0442133e-24,5.5893696e-13,2.2063767e-11,2.6117288e-23,7.202958e-18,9.923389e-13,1.2738803e-15,6.486688e-17,0.29067534,5.3666066e-10,3.0701513e-12
IK_BNLANPMAYYCMLY-LCXZALMSSA-N,Linoleic acid metabolism,Linoleic acid metabolism,0.7876409,5.7166777e-05,5.5385385e-07,1.6225335e-06,2.255657e-08,3.0654796e-08,0.08242873,7.4459336e-09,6.6623425e-06,1.9249156e-07,9.76577e-09,2.6791687e-07,1.3939008e-09,5.6125904e-09,0.0004329105,4.3896207e-09,0.0004050113,9.089236e-09,0.0009867611,0.00011395055,2.6299099e-06,5.9423496e-06,0.00027584398,2.3184691e-08,0.038196873,1.5042449e-06,4.696806e-06,3.2916034e-08,1.6142453e-08,0.7876409,1.6079912e-07,6.1951185e-05,5.5871384e-05,9.648261e-05,1.6224614e-09,7.0818305e-07,4.4163266e-07,2.1628271e-07,8.751535e-07,0.031519115,1.2519089e-08,1.1129661e-05,1.14586355e-05,5.999468e-08,0.00039745885,7.989308e-06,0.0032680822,1.520551e-07,0.0025044044,0.050276518,4.6382943e-06,0.00097055983,2.4739595e-08,5.6759557e-09,5.3528315e-10,0.00024937748
IK_BPZXYEUJBFHASJ-UUOKFMHZSA-N,Drug metabolism - other enzymes,Purine metabolism,0.86531836,0.004566067,0.008805853,0.0015353244,6.503126e-08,1.5200361e-09,0.0001328914,9.3679097e-07,0.0034946988,9.9152455e-09,0.0065913745,3.4830176e-08,3.0436653e-05,1.1648077e-09,1.1309143e-09,0.012078226,0.042845853,3.0926455e-09,2.313257e-08,0.002130982,0.009249928,0.002819576,2.2782026e-05,2.231175e-10,0.0004206582,0.00022010782,1.6281479e-06,5.6792805e-07,5.33773e-07,1.197348e-06,7.5388283e-07,0.0004306905,0.005282925,0.025539674,2.1914442e-05,1.9501613e-07,2.0357426e-11,7.0901965e-11,2.4129807e-07,1.8578548e-07,2.2129963e-05,0.86531836,1.6222386e-09,1.4868043e-05,5.479893e-07,2.6209239e-06,0.005146728,4.178137e-05,1.3745198e-05,2.0971078e-07,2.3098092e-08,7.240384e-08,6.5557304e-12,3.1596668e-05,1.0730471e-08,0.003180958
IK_CJGVDSGIQZDLDO-BMYWYRRPSA-N,Sphingolipid metabolism,Sphingolipid metabolism,0.99225473,8.643702e-07,7.99921e-11,4.7433372e-05,1.3131821e-13,9.186979e-16,8.216263e-09,1.086306e-05,9.366341e-11,1.3466617e-16,4.157018e-11,1.8192942e-15,1.2924131e-14,5.36284e-19,5.268607e-13,1.3315448e-11,1.8486556e-08,2.2632443e-07,7.5395265e-06,1.3815335e-10,7.585799e-12,2.242246e-09,3.6123293e-10,4.1370958e-21,0.006954255,2.6289058e-06,1.7788954e-13,6.3449036e-14,5.8528494e-15,2.5350942e-06,1.7502533e-14,1.8987103e-08,0.00064421503,2.0632983e-06,9.3344745e-14,1.3412799e-14,1.2180895e-15,3.141323e-16,3.4840506e-13,1.1299807e-08,4.918043e-13,1.2167303e-05,8.679434e-15,1.389014e-13,4.0091278e-11,9.420799e-13,0.99225473,5.4233536e-12,4.7568043e-09,1.4221634e-08,9.563895e-10,1.3442228e-10,2.6349967e-16,1.6842644e-11,1.0727715e-17,6.0438142e-05
IK_CKLJMWTZIZZHCS-REOHCLBHSA-N,Arginine biosynthesis,Lysine degradation,0.46125716,0.0060260417,5.1644256e-05,5.3478805e-05,0.0004132433,0.02023192,1.0930019e-05,2.3207833e-06,7.95362e-07,1.6201162e-05,0.0010721686,0.010265728,0.26807013,0.16263986,1.2729061e-08,3.6222252e-06,2.8169844e-09,2.6222979e-05,8.685486e-12,4.0285153e-09,2.0215347e-09,1.8109475e-06,0.00016959076,0.00015314636,4.8313077e-06,3.2928518e-05,4.400816e-13,5.084407e-05,0.031484835,4.7027922e-07,0.46125716,4.704636e-07,0.016482634,1.5508998e-06,0.012022478,1.0041042e-05,1.674464e-05,1.7844153e-05,3.6230022e-10,5.1858544e-09,0.00018464719,4.180136e-06,1.4251605e-06,0.001012804,8.437368e-10,3.62004e-13,7.770233e-09,5.4703464e-06,1.2111204e-11,3.993385e-09,7.220427e-05,1.962926e-07,1.1874452e-05,0.0056699137,0.002443409,2.19907e-06
IK_COCMFMBNEAMQMA-VGKGADPCSA-N,Fructose and mannose metabolism,Primary bile acid biosynthesis,0.9016459,1.8465199e-09,3.6901199e-07,1.204521e-08,1.4387823e-12,4.6241448e-11,0.064912856,4.619521e-13,2.782772e-07,3.8335882e-05,2.483536e-10,9.2455264e-07,2.2691949e-11,4.3963158e-09,0.0012829186,2.4977445e-10,2.9010291e-06,5.5285953e-11,7.616809e-06,3.6480717e-05,1.1929098e-06,2.7775015e-05,0.01503411,2.7418014e-07,7.741867e-05,1.14413e-08,2.261806e-07,1.0540904e-06,1.9231082e-07,0.0014679838,9.432414e-10,5.495599e-09,4.768598e-07,6.644088e-08,7.510458e-10,0.000322092,6.34548e-07,2.5787045e-07,0.0003409963,0.9016459,9.739752e-08,7.53586e-09,0.0013229235,5.552135e-07,0.010538247,1.6032025e-06,4.54668e-05,2.099998e-05,0.0009305435,0.0018236228,7.349683e-07,3.8635224e-07,2.1626747e-09,1.1563057e-12,2.6475868e-09,0.00011122081
IK_CVSVTCORWBXHQV-UHFFFAOYSA-N,Arginine and proline metabolism,Arginine and proline metabolism,0.5050464,0.17209612,1.3427644e-10,3.2416347e-07,0.5050464,0.00017531918,1.7817269e-09,5.1059706e-06,1.9458202e-09,1.8999428e-14,1.05581755e-07,3.841435e-07,7.806948e-06,1.1435168e-07,1.8952949e-11,1.8007791e-11,3.8261994e-11,2.1444172e-05,3.8424822e-13,1.3501946e-13,1.4086602e-14,2.758373e-12,1.9848934e-10,3.378967e-11,0.0018621944,0.3142164,1.573545e-16,4.3253244e-12,9.271801e-08,6.1409466e-08,5.423154e-05,2.0693396e-06,0.0050937193,2.2183047e-05,1.1285244e-08,2.5502265e-12,4.9522445e-11,3.5907142e-08,2.1677087e-15,2.7299288e-10,3.4298202e-12,1.9881238e-06,1.732116e-11,2.3111348e-11,4.3098853e-15,6.41538e-19,8.8780894e-08,8.3789654e-13,2.3483088e-15,1.7604049e-09,1.5395929e-06,6.486476e-05,4.5169614e-08,0.0013272741,1.9754173e-10,3.7210842e-11
IK_DCXYFEDJOCDNAF-REOHCLBHSA-N,"Alanine, aspartate and glutamate metabolism","Valine, leucine and isoleucine biosynthesis",0.5406702,0.26023707,8.6882204e-07,4.4941695e-05,0.0071091037,0.0013706821,1.5556678e-07,1.9524025e-05,1.7148975e-07,2.015195e-09,0.00056835904,2.1208232e-05,0.051258393,0.00028979938,1.4229477e-11,7.0827383e-07,7.60722e-10,1.0025017e-05,8.131413e-14,6.5960536e-11,7.029006e-11,7.792349e-09,1.3556941e-07,9.344869e-08,1.5156002e-05,0.0019748255,2.644695e-15,3.428251e-08,0.00011208107,2.154218e-08,0.09150224,6.136009e-07,0.04462471,5.284224e-06,0.00013494104,1.7454833e-09,3.0592027e-09,1.5732611e-07,6.5697766e-14,3.7608996e-11,3.8826602e-07,2.3714589e-05,2.268805e-10,6.2003033e-07,2.593802e-13,8.524842e-16,3.769135e-08,5.227177e-09,3.806685e-14,3.204817e-10,2.0308232e-06,1.6748619e-07,3.0688998e-08,0.5406702,1.3275943e-06,1.8964009e-08
IK_DIJBBUIOWGGQOP-QGVNFLHTSA-N,Steroid hormone biosynthesis,Steroid hormone biosynthesis,0.9995141,3.6176082e-18,7.427683e-21,3.311407e-18,2.8915993e-19,7.6398355e-17,1.608298e-07,9.307795e-23,2.5724388e-20,2.3235156e-14,3.2584454e-22,7.036093e-13,2.8983507e-24,5.373717e-17,2.6356372e-06,9.5282495e-27,4.9840577e-17,1.8956657e-16,4.779331e-12,9.358705e-16,1.6331631e-23,7.252888e-19,4.6453567e-11,7.27672e-12,2.8385995e-07,1.8475957e-17,1.6876354e-24,2.254563e-15,4.0542213e-17,2.0256784e-05,8.961179e-19,3.8085738e-17,5.045274e-16,1.8774216e-17,1.7975576e-21,3.529395e-14,2.1830357e-11,1.2240707e-06,4.7616483e-17,0.00045547742,7.8931396e-20,1.3116268e-17,5.2969924e-08,8.83393e-20,1.6899601e-10,5.648325e-24,1.1639626e-09,7.407487e-19,1.0473424e-14,0.9995141,2.4696575e-08,5.9642252e-06,6.3436935e-13,9.5144035e-21,4.9182295e-20,3.8997736e-15
IK_DLRVVLDZNNYCBX-ABXHMFFYSA-N,Galactose metabolism,Starch and sucrose metabolism,0.2632323,4.0654893e-05,0.054476757,9.552457e-05,3.1756474e-07,1.5181146e-06,0.03192856,1.52269e-07,0.003801724,0.004423938,0.00037964215,0.0008343808,0.0004170365,0.00010373104,9.2068956e-05,0.000494433,0.0013743677,4.343585e-07,5.308021e-06,0.015405091,0.047757894,0.22528973,0.10070762,5.4332628e-05,0.00019682497,2.0941401e-05,0.0011041149,0.003450835,0.006810445,0.00030760124,6.274807e-05,1.7562614e-05,0.0011389933,0.00025126172,0.0012825179,0.03505263,1.419207e-05,1.5142741e-06,0.09142624,0.002865483,0.008265154,0.00019882439,0.0028300758,0.024589594,0.030629085,0.009142495,0.00024723256,0.2632323,0.012630291,1.4932683e-05,1.9762265e-05,2.8671925e-06,1.0835372e-06,7.194897e-07,0.0005510712,0.015955288
IK_DTUQWGWMVIHBKE-UHFFFAOYSA-N,Phenylalanine metabolism,Tryptophan metabolism,0.71257114,1.0530982e-05,3.4458386e-10,6.023466e-08,0.0002681329,0.014724666,2.0159835e-06,3.346967e-08,4.097783e-10,4.832301e-07,4.52809e-09,0.0024263186,1.1339956e-07,0.0023112625,7.4575175e-05,9.186089e-12,5.118581e-10,9.259353e-05,8.723428e-09,2.0317713e-10,1.4053208e-13,9.145884e-11,9.331049e-05,0.017947612,0.00015918538,3.5122944e-06,2.0709513e-14,3.3500426e-06,2.4999943e-06,6.52537e-05,4.3962234e-05,1.4545662e-07,6.988607e-05,4.6345708e-08,2.2373245e-06,1.0109275e-06,0.0036241342,0.07744973,3.949799e-10,2.4265939e-05,2.2709692e-08,6.889479e-08,0.0033145472,5.1724566e-08,2.5551375e-07,4.8926846e-15,4.4979151e-07,1.4481977e-09,1.1535692e-09,0.0008634701,0.71257114,0.14318767,0.02065591,2.2492407e-06,3.0758786e-06,5.7441905e-08
IK_DZGWFCGJZKJUFP-UHFFFAOYSA-N,Tyrosine metabolism,Tyrosine metabolism,0.9963158,5.0714134e-06,1.4849218e-12,1.155133e-09,0.0008833091,0.0002689724,1.1389055e-07,2.304981e-09,4.838377e-12,1.8509359e-12,2.0629956e-11,8.0025904e-07,1.03962956e-10,1.2119033e-07,7.401388e-06,2.890633e-15,3.2109558e-11,2.2865847e-06,6.1603243e-09,1.0871258e-12,1.231332e-16,4.6422756e-13,3.185327e-09,3.1612228e-07,0.0008127656,1.7450283e-06,5.148075e-17,6.294089e-11,1.1411962e-09,0.00030540104,4.386787e-08,6.0468625e-07,1.6643286e-06,8.801049e-08,3.014195e-10,7.843481e-11,4.386323e-06,7.606747e-05,8.884814e-14,4.55826e-07,7.086703e-13,3.2557082e-08,2.1231321e-07,3.3105309e-12,6.3123146e-11,3.2149152e-18,1.3961497e-07,5.418247e-13,2.7010078e-12,9.8013326e-05,0.00038353298,0.9963158,0.0008307232,1.1331953e-08,2.458182e-10,1.05146315e-10
